@relation 'brazilian-malware - actually processed-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,23,12-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-Rlast-weka.filters.unsupervised.attribute.NominalToString-Cfirst-last-weka.filters.unsupervised.attribute.StringToNominal-Rlast-weka.filters.unsupervised.attribute.Remove-R8,10-11-weka.filters.unsupervised.instance.RemoveRange-V-R1-15-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.RemoveRange -V -R 1-15-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0'

@attribute BaseOfCode numeric
@attribute BaseOfData numeric
@attribute Characteristics numeric
@attribute DllCharacteristics numeric
@attribute Entropy numeric
@attribute FileAlignment numeric
@attribute ImageBase numeric
@attribute Machine numeric
@attribute NumberOfRvaAndSizes numeric
@attribute NumberOfSections numeric
@attribute NumberOfSymbols numeric
@attribute Size numeric
@attribute SizeOfCode numeric
@attribute SizeOfHeaders numeric
@attribute SizeOfImage numeric
@attribute SizeOfInitializedData numeric
@attribute SizeOfUninitializedData numeric
@attribute Label {0,1}

@data
4096,45056,33167,32768,7.999988,512,4194304,332,16,8,0,507335832,37888,1024,360448,291328,0,0
4096,40960,33167,0,7.950347,512,4194304,332,16,8,0,550272,36864,1024,77824,16896,0,0
4096,86016,271,0,7.966074,512,4194304,332,16,5,0,2104682,79872,1024,159744,71168,0,0
4096,28672,271,0,7.995554,512,4194304,332,16,5,0,2806272,20992,1024,2822144,18944,0,0
4096,40960,33167,0,7.98796,512,4194304,332,16,8,0,1578008,35328,1024,81920,16896,0,0
4096,24576,271,0,6.029052,512,4194304,332,16,4,0,20992,17920,1024,36864,2048,1024,0
4096,40960,775,32768,7.999695,512,16777216,332,16,3,0,36476744,34816,1536,36478976,36430848,0,0
4096,45056,33167,32768,7.999832,512,4194304,332,16,8,0,21512472,37888,1024,94208,27136,0,0
4096,45056,33167,32768,7.999832,512,4194304,332,16,8,0,21512472,37888,1024,94208,27136,0,0
4096,45056,33167,32768,7.998263,512,4194304,332,16,8,0,4970408,37376,1024,102400,36864,0,0
4096,73728,271,0,7.978582,4096,4194304,332,16,4,0,3687057,69632,4096,172032,98304,0,0
4096,49152,33167,33088,7.999603,512,4194304,332,16,8,0,39865552,41472,1024,192512,120832,0,0
4096,45056,33167,32768,7.998807,512,4194304,332,16,8,0,4740913,37376,1024,81920,17408,0,0
4096,1171456,33166,0,4.858305,512,4194304,332,16,8,0,5195776,1166848,1024,5345280,4027904,0,0
4096,36864,33166,0,7.973422,512,4194304,332,16,8,0,1258304,28672,1024,1212416,1159680,0,0
4096,45056,33167,33088,7.917293,512,4194304,332,16,8,0,1826467,40448,1024,290816,224768,0,0
4096,40960,33167,32768,7.979543,512,4194304,332,16,8,0,934521,36864,1024,77824,17408,0,0
4096,20480,8462,0,4.631959,512,268435456,332,16,5,0,35328,13312,1024,53248,20992,0,0
4096,45056,33167,32768,7.998992,512,4194304,332,16,8,0,5275200,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.956646,512,4194304,332,16,8,0,613740,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.976037,512,4194304,332,16,8,0,893872,37888,1024,81920,17920,0,0
4096,45056,33167,33088,7.989071,512,4194304,332,16,8,0,13108984,40448,1024,376832,308224,0,0
4096,53248,33167,0,7.987901,512,4194304,332,16,8,0,1661008,47104,1024,94208,16384,0,0
4096,45056,33167,32768,7.996858,512,4194304,332,16,8,0,2881712,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.994923,512,4194304,332,16,8,0,2211368,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.994759,512,4194304,332,16,8,0,2146973,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.967961,512,4194304,332,16,8,0,8056848,40448,1024,364544,299008,0,0
4096,45056,33167,32768,7.99924,512,4194304,332,16,8,0,6154467,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.998978,512,4194304,332,16,8,0,5187063,37376,1024,81920,17408,0,0
4096,45056,33167,32768,7.89413,512,4194304,332,16,8,0,572304,40448,1024,102400,36352,0,0
163840,163968,271,0,7.998367,512,4194304,332,16,7,0,2670035,76288,1536,262144,54272,0,0
4096,40960,33167,32768,7.990869,512,4194304,332,16,8,0,1512927,36864,1024,77824,16896,0,0
4096,45056,33167,32768,7.996233,512,4194304,332,16,8,0,2601200,40448,1024,81920,17920,0,0
4096,24576,271,0,7.998971,512,4194304,332,16,5,0,98977792,18944,1024,98992128,10752,0,0
4096,8192,271,0,7.989688,512,4194304,332,16,4,0,870464,512,1024,880640,863744,0,0
4096,49152,33167,33088,7.992095,512,4194304,332,16,8,0,2168550,41472,1024,94208,24064,0,0
4096,45056,33167,32768,7.997987,512,4194304,332,16,8,0,3672091,40448,1024,81920,17920,0,0
4096,73728,271,0,7.998693,4096,4194304,332,16,4,0,105636995,69632,4096,172032,98304,0,0
4096,45056,33167,32768,7.99993,512,4194304,332,16,8,0,22613721,40448,1024,81920,17920,0,0
4096,40960,33167,32768,7.996817,512,4194304,332,16,8,0,2797743,36864,1024,77824,16896,0,0
4096,16384,287,0,5.740203,512,4194304,332,16,3,0,13824,8704,1024,24576,4096,0,0
4096,40960,33167,0,7.999915,512,4194304,332,16,8,0,19697995,36864,1024,77824,16896,0,0
4096,45056,33167,32768,7.983587,512,4194304,332,16,8,0,1086488,37376,1024,81920,17408,0,0
4096,40960,771,0,7.605587,512,16777216,332,16,3,739,334552,36864,512,335872,285696,0,0
4096,16384,1295,0,7.994316,512,4194304,332,16,4,0,805841,8704,1024,28672,5632,0,0
4096,8192,287,0,4.768857,512,4194304,332,16,3,0,7168,4096,1024,16384,2048,0,0
4096,45056,33167,32768,7.998118,512,4194304,332,16,8,0,3883370,37888,1024,81920,17920,0,0
4096,49152,33167,33088,7.98562,512,4194304,332,16,8,0,1696040,41472,1024,86016,17920,0,0
4096,16384,271,0,5.554224,512,4194304,332,16,4,0,12288,9728,1024,28672,1536,1024,0
4096,45056,33167,33088,7.999709,512,4194304,332,16,8,0,10860400,40448,1024,81920,17920,0,0
4096,24576,271,0,7.992501,512,4194304,332,16,5,0,965632,18944,1024,978944,10752,0,0
4096,40960,33167,0,7.997213,512,4194304,332,16,8,0,2977913,36864,1024,77824,16896,0,0
4096,49152,33167,33088,7.640205,512,4194304,332,16,8,0,4388941,41472,1024,724992,653824,0,0
4096,45056,33167,33088,7.945418,512,4194304,332,16,8,0,530237,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.992954,512,4194304,332,16,8,0,1664172,37888,1024,81920,12800,0,0
4096,45056,33167,32768,7.997753,512,4194304,332,16,8,0,3430249,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.998464,512,4194304,332,16,8,0,4269287,37888,1024,81920,17920,0,0
4096,106496,33166,0,7.999366,512,4194304,332,16,8,0,43073104,101376,1024,249856,123904,0,0
4096,73728,271,0,7.994721,4096,4194304,332,16,4,0,8331294,69632,4096,172032,98304,0,0
4096,45056,33167,32768,7.997667,512,4194304,332,16,8,0,3396840,37888,1024,81920,17920,0,0
1142784,1507328,33167,0,7.882296,512,4194304,332,16,3,0,386336,364544,4096,1523712,16384,1138688,0
4096,45056,33167,32768,7.989408,512,4194304,332,16,8,0,2111775,37888,1024,106496,38400,0,0
4096,163840,271,0,7.964137,4096,4194304,332,16,4,0,2643424,159744,4096,2662400,2498560,0,0
4096,536576,33166,0,7.939707,512,4194304,332,16,10,0,278528,531968,1024,696320,128000,0,0
4096,45056,33167,32768,7.918973,512,4194304,332,16,8,0,4302944,37376,1024,368640,303104,0,0
4096,40960,33167,0,7.998314,512,4194304,332,16,8,0,3968620,35328,1024,77824,16896,0,0
4096,73728,271,0,7.998444,4096,4194304,332,16,4,0,217553063,69632,4096,172032,98304,0,0
4096,8192,271,0,7.998411,512,4194304,332,16,4,0,9719496,512,1024,9732096,9714688,0,0
4096,40960,270,0,7.934962,512,4194304,332,16,9,0,5458920,35328,1024,5513216,17408,38400,0
4096,45056,33167,32768,7.999698,512,4194304,332,16,8,0,17408467,40448,1024,77824,11776,0,0
4096,45056,33167,32768,7.999896,512,4194304,332,16,8,0,43938656,40448,1024,102400,36352,0,0
4096,45056,33167,32768,7.999338,512,4194304,332,16,8,0,10323398,40448,1024,151552,84992,0,0
4096,45056,33167,32768,7.999197,512,4194304,332,16,8,0,7200693,40448,1024,94208,25600,0,0
4096,45056,33167,32768,7.998212,512,4194304,332,16,8,0,3959960,40448,1024,81920,17920,0,0
4096,24576,271,0,7.99533,512,4194304,332,16,5,0,1328640,18944,1024,1343488,10752,0,0
4096,45056,33167,32768,7.925331,512,4194304,332,16,8,0,425742,37376,1024,81920,17408,0,0
4096,49152,33167,33088,7.999838,512,4194304,332,16,8,0,14127178,41472,1024,86016,17920,0,0
4096,45056,33167,32768,7.991849,512,4194304,332,16,8,0,2250552,37888,1024,143360,75776,0,0
4096,45056,33167,32768,7.993427,512,4194304,332,16,8,0,1908652,37888,1024,81920,17920,0,0
4096,24576,271,0,7.62611,512,4194304,332,16,5,0,77312,18944,1024,90112,10752,0,0
4096,45056,33167,32768,7.999761,512,4194304,332,16,8,0,15250414,37888,1024,81920,17920,0,0
4096,40960,33167,0,7.993718,512,4194304,332,16,8,0,1901220,36864,1024,77824,16896,0,0
4096,73728,271,0,7.995385,4096,4194304,332,16,4,0,10495656,69632,4096,172032,98304,0,0
4096,45056,33167,32768,7.591937,512,4194304,332,16,8,0,213275822,37376,1024,86016,19968,0,0
4096,53248,33167,0,7.905221,512,4194304,332,16,8,0,474352,48640,1024,98304,20992,0,0
4096,45056,33167,32768,7.99974,512,4194304,332,16,8,0,10787586,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.972413,512,4194304,332,16,8,0,10388472,40448,1024,450560,382976,0,0
4096,36864,270,0,7.972926,512,4194304,332,16,7,0,1152512,31232,1024,1179648,1120256,6144,0
4096,45056,33167,32768,7.999164,512,4194304,332,16,8,0,5930197,40448,1024,81920,17920,0,0
4096,28672,271,0,7.999118,512,4194304,332,16,5,0,80852480,22016,1024,80867328,10752,0,0
4096,45056,33167,32768,7.994285,512,4194304,332,16,8,0,2040141,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.998807,512,4194304,332,16,8,0,5543218,37888,1024,81920,17920,0,0
4096,40960,33167,0,7.999418,512,4194304,332,16,8,0,6907126,36864,1024,77824,16896,0,0
4096,45056,33167,32768,7.999907,512,4194304,332,16,8,0,99616137,37888,1024,188416,121856,0,0
4096,40960,33167,0,7.967178,512,4194304,332,16,8,0,722765,36352,1024,77824,16896,0,0
4096,45056,33167,32768,7.975352,512,4194304,332,16,8,0,880992,37888,1024,81920,17920,0,0
163840,163968,271,0,7.998367,512,4194304,332,16,7,0,2670035,76288,1536,262144,54272,0,0
4096,45056,33167,32768,7.999949,512,4194304,332,16,8,0,26573384,37888,1024,81920,17920,0,0
4096,159744,271,0,7.854632,4096,4194304,332,16,4,0,1008608,155648,4096,1032192,872448,0,0
4096,53248,33167,0,7.964602,512,4194304,332,16,8,0,768797,47104,1024,94208,16384,0,0
4096,520192,33166,0,6.568518,512,4194304,332,16,9,0,606720,513536,1024,638976,92160,0,0
4096,45056,33167,32768,7.99993,512,4194304,332,16,8,0,45880135,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.994544,512,4194304,332,16,8,0,2091598,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.995951,512,4194304,332,16,8,0,12903401,40448,1024,258048,189440,0,0
4096,45056,33167,32768,7.974753,512,4194304,332,16,8,0,856481,40448,1024,81920,17920,0,0
4096,614400,8974,0,6.406282,512,1602224128,332,16,6,0,924944,610304,1024,946176,313344,0,0
4096,49152,33167,33088,7.970217,512,4194304,332,16,8,0,1325816,41472,1024,192512,120320,0,0
4096,45056,33167,32768,7.921134,512,4194304,332,16,8,0,428826,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.999648,512,4194304,332,16,8,0,8622445,40448,1024,81920,12800,0,0
4096,86016,271,0,7.966074,512,4194304,332,16,5,0,2104682,79872,1024,159744,71168,0,0
4096,57344,8462,0,6.401067,512,268435456,332,16,8,0,120320,53248,1024,679936,66048,541184,0
4096,40960,33167,0,7.999962,512,4194304,332,16,8,0,31029427,36864,1024,77824,16896,0,0
4096,36864,270,0,7.972926,512,4194304,332,16,7,0,1152512,31232,1024,1179648,1120256,6144,0
4096,106496,33166,0,7.99657,512,4194304,332,16,8,0,14575402,101376,1024,249856,123904,0,0
4096,45056,33167,32768,7.999992,512,4194304,332,16,8,0,77162217,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.999857,512,4194304,332,16,8,0,15588536,37888,1024,81920,17920,0,0
4096,40960,33167,32768,7.998017,512,4194304,332,16,8,0,6380629,36864,1024,94208,32768,0,0
4096,45056,33167,32768,7.999856,512,4194304,332,16,8,0,15340280,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.900951,512,4194304,332,16,8,0,363146,37376,1024,81920,14848,0,0
4096,49152,33167,33088,7.984761,512,4194304,332,16,8,0,10416464,41472,1024,438272,366592,0,0
4096,49152,33167,33088,7.990137,512,4194304,332,16,8,0,25896136,41472,1024,450560,380928,0,0
4096,49152,33167,33088,7.999999,512,4194304,332,16,8,0,378542000,41472,1024,90112,18432,0,0
4096,45056,33167,32768,6.968947,512,4194304,332,16,8,0,969845,37376,1024,348160,280576,0,0
4096,45056,33167,32768,7.999856,512,4194304,332,16,8,0,21192304,40448,1024,110592,43008,0,0
4096,45056,33167,32768,7.999873,512,4194304,332,16,8,0,16510816,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.999223,512,4194304,332,16,8,0,6158429,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.997016,512,4194304,332,16,8,0,2978800,40448,1024,81920,17920,0,0
4096,57344,8462,0,6.401067,512,268435456,332,16,8,0,120320,53248,1024,679936,66048,541184,0
4096,73728,271,0,7.995957,512,4194304,332,16,5,0,7740765,69120,1024,155648,75776,0,0
4096,40960,33167,0,7.998117,512,4194304,332,16,8,0,3701026,35328,1024,77824,16896,0,0
4096,45056,33167,32768,7.999303,512,4194304,332,16,8,0,6451161,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.994285,512,4194304,332,16,8,0,1988160,37376,1024,81920,17408,0,0
4096,45056,33167,32768,7.976322,512,4194304,332,16,8,0,913596,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.999969,512,4194304,332,16,8,0,32898414,37888,1024,81920,17920,0,0
4096,49152,33167,33088,7.97503,512,4194304,332,16,8,0,1482040,41472,1024,192512,120320,0,0
4096,40960,33167,32768,7.974556,512,4194304,332,16,8,0,823117,36864,1024,77824,17408,0,0
4096,8192,271,0,7.999888,512,4194304,332,16,4,0,109946720,512,1024,109957120,109939200,0,0
4096,16384,33166,0,7.99927,512,65536,332,16,8,0,13415424,9216,1024,266240,227328,0,0
4096,45056,33167,32768,7.967326,512,4194304,332,16,8,0,708658,37376,1024,81920,17408,0,0
4096,45056,33167,32768,7.999794,512,4194304,332,16,8,0,16077976,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.788338,512,4194304,332,16,8,0,855093,40448,1024,176128,110592,0,0
4096,40960,33167,0,7.96646,512,4194304,332,16,8,0,702647,36864,1024,77824,16896,0,0
4096,45056,33167,32768,7.994285,512,4194304,332,16,8,0,1988160,37376,1024,81920,17408,0,0
4096,40960,33167,0,7.998943,512,4194304,332,16,8,0,5054777,36864,1024,77824,16896,0,0
4096,45056,33167,32768,7.998936,512,4194304,332,16,8,0,4565240,37888,1024,81920,12800,0,0
4096,45056,33167,32768,7.91619,512,4194304,332,16,8,0,404482,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.997466,512,4194304,332,16,8,0,3340927,40448,1024,81920,13824,0,0
4096,45056,33167,32768,7.957617,512,4194304,332,16,8,0,941851,37888,1024,151552,86016,0,0
4096,45056,33167,32768,7.999871,512,4194304,332,16,8,0,16776222,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.593709,512,4194304,332,16,8,0,844908,40448,1024,266240,197120,0,0
4096,73728,271,0,7.998263,4096,4194304,332,16,4,0,19536412,69632,4096,172032,98304,0,0
4096,45056,33167,32768,7.985504,512,4194304,332,16,8,0,3515824,37888,1024,176128,110080,0,0
4096,45056,33167,32768,7.972413,512,4194304,332,16,8,0,10388472,40448,1024,450560,382976,0,0
4096,1519616,33166,0,6.507661,512,4194304,332,16,8,0,1890304,1513984,1024,1925120,375296,0,0
4096,45056,33167,32768,7.999992,512,4194304,332,16,8,0,77162217,37888,1024,81920,17920,0,0
4096,98304,8462,0,6.011505,512,268435456,332,16,5,0,146944,91136,1024,163840,54784,0,0
4096,40960,33167,0,7.999751,512,4194304,332,16,8,0,11107328,36864,1024,77824,16896,0,0
4096,45056,33167,32768,7.998152,512,4194304,332,16,8,0,22299384,40448,1024,335872,268800,0,0
4096,45056,33167,32768,7.883655,512,4194304,332,16,8,0,344862,37888,1024,81920,15360,0,0
4096,45056,33167,32768,7.997297,512,4194304,332,16,8,0,3411992,37888,1024,90112,20992,0,0
4096,45056,33167,32768,7.994668,512,4194304,332,16,8,0,2175344,40448,1024,81920,17920,0,0
4096,2232320,33166,0,6.354531,512,4194304,332,16,8,0,4189184,2225152,1024,4218880,1963008,0,0
4096,40960,33167,0,7.98508,512,4194304,332,16,8,0,1147120,36864,1024,77824,16896,0,0
4096,655360,33166,0,7.913169,512,1358954496,332,16,9,0,361984,651264,1024,1032192,351744,0,0
4096,45056,33167,32768,7.999997,512,4194304,332,16,8,0,641332360,37376,1024,286720,219648,0,0
4096,45056,33167,32768,7.988776,512,4194304,332,16,8,0,4886792,40448,1024,229376,160256,0,0
4096,45056,33167,32768,7.950873,512,4194304,332,16,8,0,4148473,37376,1024,270336,203776,0,0
4096,45056,33167,32768,7.978217,512,4194304,332,16,8,0,939286,40448,1024,81920,17920,0,0
4096,53248,33167,0,7.999296,512,4194304,332,16,8,0,8477280,48640,1024,98304,22016,0,0
4096,73728,271,0,7.998363,4096,4194304,332,16,4,0,20781048,69632,4096,172032,98304,0,0
4096,45056,33167,32768,7.996432,512,4194304,332,16,8,0,2688183,40448,1024,81920,17920,0,0
4096,24576,271,0,7.999375,512,4194304,332,16,5,0,10698240,18944,1024,10711040,10752,0,0
4096,45056,33167,32768,7.999835,512,4194304,332,16,8,0,18687012,40448,1024,118784,52736,0,0
4096,45056,33167,32768,7.999907,512,4194304,332,16,8,0,18539041,37376,1024,81920,16896,0,0
4096,45056,33167,32768,7.999856,512,4194304,332,16,8,0,15036600,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.999807,512,4194304,332,16,8,0,16061616,40448,1024,81920,17920,0,0
4096,20480,8462,0,4.613948,512,268435456,332,16,5,0,34816,13312,1024,53248,20480,0,0
4096,12288,271,0,5.457709,512,4194304,332,16,3,0,10240,6656,1024,20480,2560,0,0
4096,40960,33167,0,7.994058,512,4194304,332,16,8,0,1965130,36864,1024,77824,16896,0,0
4096,40960,33167,0,7.999369,512,4194304,332,16,8,0,6984770,36864,1024,77824,16896,0,0
4096,49152,33167,33088,7.99994,512,4194304,332,16,8,0,50970576,41472,1024,86016,17920,0,0
4096,45056,33167,32768,7.966022,512,4194304,332,16,8,0,767105,37376,1024,86016,18432,0,0
4096,45056,33167,32768,7.999288,512,4194304,332,16,8,0,6533176,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.851648,512,4194304,332,16,8,0,6553832,37888,1024,241664,172544,0,0
4096,45056,33167,32768,7.976851,512,4194304,332,16,8,0,4677552,40448,1024,274432,207360,0,0
4096,45056,33167,32768,7.999969,512,4194304,332,16,8,0,38063581,37888,1024,94208,25600,0,0
4096,61440,271,0,6.34114,512,4194304,332,16,4,0,59904,56320,1024,73728,2560,2048,0
4096,20480,8462,0,4.606629,512,268435456,332,16,5,0,34816,13312,1024,53248,20480,0,0
4096,24576,271,0,6.155292,512,4194304,332,16,4,0,19968,16896,1024,36864,2048,512,0
4096,45056,33167,32768,7.986007,512,4194304,332,16,8,0,6002414,37888,1024,217088,151040,0,0
4096,45056,33167,32768,7.988488,512,4194304,332,16,8,0,5125196,37888,1024,176128,110080,0,0
4096,40960,775,0,5.308237,512,4194304,332,16,9,1574,110146,34304,1024,102400,74240,3072,0
4096,45056,33167,32768,7.99739,512,4194304,332,16,8,0,3178073,37376,1024,81920,16896,0,0
4096,24576,271,0,7.62611,512,4194304,332,16,5,0,77312,18944,1024,90112,10752,0,0
4096,45056,33167,32768,7.996025,512,4194304,332,16,8,0,2515849,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.951557,512,4194304,332,16,8,0,581549,37888,1024,81920,17920,0,0
4096,49152,33167,33088,7.901042,512,4194304,332,16,8,0,1346656,41472,1024,86016,17920,0,0
4096,45056,33167,32768,7.999756,512,4194304,332,16,8,0,11438475,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.999422,512,4194304,332,16,8,0,7789344,40448,1024,94208,28160,0,0
4096,40960,33167,0,7.998943,512,4194304,332,16,8,0,5054777,36864,1024,77824,16896,0,0
4096,73728,271,0,7.998693,4096,4194304,332,16,4,0,105636995,69632,4096,172032,98304,0,0
4096,45056,33167,32768,7.868509,512,4194304,332,16,8,0,2102334,40448,1024,376832,308224,0,0
4096,45056,33167,32768,7.979567,512,4194304,332,16,8,0,987096,40448,1024,81920,17920,0,0
4096,45056,33167,33088,7.937705,512,4194304,332,16,8,0,807975,40448,1024,114688,47104,0,0
4096,45056,33167,32768,7.999766,512,4194304,332,16,8,0,14884584,37888,1024,81920,17920,0,0
4096,40960,33167,0,7.97448,512,4194304,332,16,8,0,835704,36864,1024,77824,16896,0,0
4096,45056,33167,32768,7.999997,512,4194304,332,16,8,0,171948587,40448,1024,139264,70144,0,0
4096,45056,33167,33088,7.996931,512,4194304,332,16,8,0,7107320,40448,1024,159744,93184,0,0
4096,16384,1295,0,7.998381,512,4194304,332,16,4,0,9739116,8704,1024,28672,5632,0,0
4096,45056,33167,32768,7.999422,512,4194304,332,16,8,0,7789344,40448,1024,94208,28160,0,0
4096,40960,33167,0,7.999239,512,4194304,332,16,8,0,6210695,35328,1024,81920,16896,0,0
4096,40960,33167,32768,7.999688,512,4194304,332,16,8,0,9661775,36864,1024,77824,17408,0,0
4096,45056,33167,32768,7.967326,512,4194304,332,16,8,0,708658,37376,1024,81920,17408,0,0
4096,45056,33167,32768,7.988526,512,4194304,332,16,8,0,1360079,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.998263,512,4194304,332,16,8,0,4970408,37376,1024,102400,36864,0,0
4096,28672,271,0,7.996925,512,4194304,332,16,5,0,340233728,22016,1024,340250624,10752,0,0
4096,45056,33167,32768,7.997888,512,4194304,332,16,8,0,4791427,37888,1024,81920,17920,0,0
4096,69632,8462,0,4.720284,512,268435456,332,16,5,0,183808,63488,1024,303104,225792,0,0
4096,45056,33167,32768,7.962844,512,4194304,332,16,8,0,746958,40448,1024,94208,25600,0,0
4096,40960,33167,32768,7.890568,512,4194304,332,16,8,0,307983,36864,1024,77824,15872,0,0
4096,45056,33167,32768,7.999872,512,4194304,332,16,8,0,16373292,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.994285,512,4194304,332,16,8,0,2040141,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.999998,512,4194304,332,16,8,0,267940236,37376,1024,106496,40448,0,0
4096,45056,33167,32768,7.995505,512,4194304,332,16,8,0,2344495,37888,1024,81920,17920,0,0
278528,417792,33167,0,7.999061,512,4194304,332,16,3,0,6758616,139264,4096,425984,8192,274432,0
4096,49152,33167,32768,7.999888,512,4194304,332,16,8,0,16699034,41984,1024,90112,18432,0,0
4096,45056,33167,32768,7.99986,512,4194304,332,16,8,0,18612408,40448,1024,94208,25600,0,0
4096,49152,33167,33088,7.990137,512,4194304,332,16,8,0,25896136,41472,1024,450560,380928,0,0
4096,49152,33167,33088,7.989717,512,4194304,332,16,8,0,19046136,41472,1024,479232,409088,0,0
4096,45056,33167,32768,7.998723,512,4194304,332,16,8,0,33983416,37888,1024,282624,215552,0,0
4096,53248,33167,0,7.987901,512,4194304,332,16,8,0,1661008,47104,1024,94208,16384,0,0
4096,36864,33167,0,5.756542,512,4194304,332,16,8,0,15637557,30720,1024,73728,15872,0,0
4096,40960,771,0,7.934764,512,16777216,332,16,3,739,1044168,36864,512,1044480,994816,0,0
4096,40960,33167,0,7.99843,512,4194304,332,16,8,0,4140997,36864,1024,77824,16896,0,0
4096,45056,33167,32768,7.999254,512,4194304,332,16,8,0,6328694,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.974162,512,4194304,332,16,8,0,1284040,37888,1024,110592,45056,0,0
4096,45056,33167,32768,7.999781,512,4194304,332,16,8,0,12631232,37888,1024,81920,17920,0,0
4096,8192,270,0,7.997554,512,4194304,332,16,7,0,1876980,2560,1024,32768,4608,0,0
4096,40960,33167,0,7.998314,512,4194304,332,16,8,0,3968620,35328,1024,77824,16896,0,0
81920,106496,287,0,7.996163,512,4194304,332,16,3,0,1121066,24576,4096,110592,4096,77824,0
409600,634880,33167,0,7.997455,512,4194304,332,16,3,0,5718216,225280,4096,643072,8192,405504,0
4096,28672,271,0,7.994612,512,4194304,332,16,5,0,1468388352,22016,1024,1468403712,10752,0,0
4096,24576,271,0,7.99907,512,4194304,332,16,5,0,90268160,18944,1024,90284032,10752,0,0
4096,24576,287,0,6.254354,512,4194304,332,16,3,0,28160,19456,1024,36864,7680,0,0
4096,45056,33167,32768,7.974584,512,4194304,332,16,8,0,12668904,37888,1024,552960,484352,0,0
4096,40960,33167,0,7.978444,512,4194304,332,16,8,0,903601,36352,1024,77824,16896,0,0
4096,45056,33167,32768,7.999863,512,4194304,332,16,8,0,19599501,37888,1024,98304,29696,0,0
4096,86016,271,0,6.345824,512,4194304,332,16,4,0,82432,78336,1024,102400,3072,7680,0
4096,1118208,33166,0,7.943233,512,4194304,332,16,8,0,11529744,1114112,1024,11546624,10406400,0,0
4096,45056,33167,32768,7.997046,512,4194304,332,16,8,0,3005176,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.99845,512,4194304,332,16,8,0,4224745,40448,1024,81920,17920,0,0
4096,45056,33167,32768,7.999123,512,4194304,332,16,8,0,6036064,37888,1024,81920,17920,0,0
4096,49152,33167,33088,7.989983,512,4194304,332,16,8,0,2063096,41472,1024,86016,17920,0,0
4096,45056,33167,32768,7.999627,512,4194304,332,16,8,0,10833440,37888,1024,81920,17920,0,0
4096,40960,33167,32768,7.992533,512,4194304,332,16,8,0,1941404,36864,1024,77824,14336,0,0
4096,40960,33167,32768,7.967355,512,4194304,332,16,8,0,926589,36864,1024,94208,32256,0,0
4096,45056,33167,32768,7.98926,512,4194304,332,16,8,0,1434816,40448,1024,81920,17920,0,0
4096,921600,33166,0,6.309473,512,4194304,332,16,8,0,2817536,913920,1024,3055616,1902592,0,0
4096,45056,33167,32768,7.985685,512,4194304,332,16,8,0,1221648,37888,1024,81920,17920,0,0
4096,106496,33166,0,7.99657,512,4194304,332,16,8,0,14575402,101376,1024,249856,123904,0,0
4096,12288,271,0,5.457709,512,4194304,332,16,3,0,10240,6656,1024,20480,2560,0,0
4096,45056,33167,32768,7.999975,512,4194304,332,16,8,0,40404336,37888,1024,81920,17920,0,0
4096,45056,33167,32768,7.998464,512,4194304,332,16,8,0,4269287,37888,1024,81920,17920,0,0
4096,24576,271,0,7.99907,512,4194304,332,16,5,0,90268160,18944,1024,90284032,10752,0,0
