['Training set', '16001-18000', '18001-20000', '20001-22000', '22001-24000', '24001-26000', '26001-28000', '28001-30000', '30001-32000', '32001-34000', '34001-36000', '36001-38000', '38001-40000', '40001-42000', '42001-44000', '44001-46000', '46001-48000', '48001-50000']

J48 (accuracy): [98.84375, 94.05, 89.25, 94.2, 91.35, 97.2, 94.7, 93.3, 89.3, 84.35, 84.95, 84.65, 85.1, 87.6, nan, 80.6, 82.3, 80.15]
RandomTree (accuracy): [99.04375, 92.0, 86.8, 91.25, 89.3, 94.25, 90.3, 91.4, 88.45, 77.85, 80.35, 81.4, 79.9, 84.85, nan, 67.05, 64.35, 69.9]
RandomForest (accuracy): [99.45, 98.15, 95.1, 98.0, 91.6, 96.05, 91.6, 94.1, 91.65, 85.25, 84.2, 84.4, 84.95, 86.05, nan, 83.55, 85.8, 77.0]
JRip (accuracy): [98.45625, 94.2, 90.45, 95.55, 90.1, 96.6, 94.8, 93.65, 88.7, 86.35, 87.05, 84.6, 83.1, 86.75, nan, 84.7, 83.6, 82.55]
PART (accuracy): [98.69375, 90.15, 85.3, 88.55, 88.2, 95.45, 87.15, 92.4, 86.4, 74.6, 77.2, 83.4, 81.1, 82.75, nan, 70.2, 72.7, 82.85]
IBk (accuracy): [99.19375, 92.95, 91.7, 92.65, 86.8, 90.25, 90.55, 91.75, 80.2, 84.25, 84.7, 86.35, 80.55, 85.3, nan, 86.35, 86.2, 71.25]

J48 (auc): [0.992420015625, 0.926358, 0.864545, 0.9461585, 0.894657, 0.957624, 0.949857, 0.943505, 0.8644475, 0.8265415, 0.823955, 0.8151695, 0.836701, 0.842505, nan, 0.795863, 0.7874965, 0.7104905]
RandomTree (auc): [0.9904375, 0.92, 0.868, 0.9125, 0.893, 0.9425, 0.903, 0.914, 0.8845, 0.7785, 0.8035, 0.814, 0.799, 0.8485, nan, 0.6705, 0.6435, 0.699]
RandomForest (auc): [0.99915371875, 0.994671, 0.958658, 0.99215, 0.9669475, 0.9939895, 0.984249, 0.9923755, 0.977639, 0.911939, 0.938609, 0.96193, 0.9518925, 0.967575, nan, 0.917972, 0.943182, 0.875998]
JRip (auc): [0.9897222578125, 0.976641, 0.947961, 0.9733725, 0.9519275, 0.9697625, 0.9544275, 0.9365, 0.906686, 0.8884215, 0.893325, 0.8580345, 0.8379445, 0.8661035, nan, 0.8788475, 0.8841045, 0.8266515]
PART (auc): [0.9941496015625, 0.9505225, 0.9165305, 0.943897, 0.8557205, 0.9677235, 0.880255, 0.9439785, 0.89155, 0.794345, 0.809083, 0.882561, 0.868991, 0.8608665, nan, 0.780764, 0.810142, 0.777339]
IBk (auc): [0.9924824765625, 0.941653, 0.925139, 0.9354945, 0.8786715, 0.9043625, 0.9042925, 0.9252505, 0.784888, 0.823, 0.825104, 0.8445495, 0.7642225, 0.837431, nan, 0.8466385, 0.85799, 0.7313695]

J48 (recall): [0.99025, 0.968, 0.905, 0.956, 0.948, 0.947, 0.932, 0.882, 0.868, 0.814, 0.821, 0.763, 0.749, 0.794, nan, 0.828, 0.866, 0.702]
RandomTree (recall): [0.994125, 0.963, 0.905, 0.95, 0.936, 0.914, 0.876, 0.852, 0.798, 0.758, 0.752, 0.719, 0.656, 0.748, nan, 0.655, 0.591, 0.526]
RandomForest (recall): [0.997125, 0.973, 0.905, 0.965, 0.943, 0.921, 0.916, 0.882, 0.852, 0.805, 0.764, 0.721, 0.708, 0.735, nan, 0.72, 0.778, 0.568]
JRip (recall): [0.988375, 0.966, 0.908, 0.951, 0.938, 0.942, 0.911, 0.873, 0.848, 0.806, 0.809, 0.745, 0.689, 0.746, nan, 0.799, 0.818, 0.706]
PART (recall): [0.991375, 0.951, 0.905, 0.951, 0.932, 0.924, 0.893, 0.863, 0.847, 0.818, 0.752, 0.735, 0.705, 0.759, nan, 0.751, 0.853, 0.706]
IBk (recall): [0.995625, 0.949, 0.928, 0.944, 0.907, 0.891, 0.895, 0.841, 0.804, 0.785, 0.807, 0.789, 0.665, 0.775, nan, 0.782, 0.812, 0.559]

J48 (precision): [0.9866733092539545, 0.9175355450236967, 0.8829268292682927, 0.9299610894941635, 0.8868101028999065, 0.9968421052631579, 0.9608247422680413, 0.9821826280623608, 0.9136842105263158, 0.8650371944739639, 0.870625662778367, 0.9159663865546218, 0.9409547738693468, 0.9497607655502392, nan, 0.7931034482758621, 0.7974217311233885, 0.8764044943820225]
RandomTree (precision): [0.9868470033502916, 0.8867403314917127, 0.8426443202979516, 0.8837209302325582, 0.861878453038674, 0.9692470837751855, 0.9260042283298098, 0.9726027397260274, 0.9649334945586457, 0.7904066736183525, 0.8383500557413601, 0.8876543209876543, 0.9187675070028011, 0.9361702127659575, nan, 0.675954592363261, 0.6603351955307263, 0.8042813455657493]
RandomForest (precision): [0.9919174334742601, 0.9898270600203459, 0.9966960352422908, 0.9948453608247423, 0.8946869070208728, 1.0, 0.916, 1.0, 0.9781859931113662, 0.8895027624309392, 0.9052132701421801, 0.9562334217506632, 0.9874476987447699, 0.9813084112149533, nan, 0.9362808842652796, 0.9261904761904762, 0.9530201342281879]
