['Training set', '15001-20000', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
RandomForest (modified) (0) (accuracy): [99.57333333333334, 97.92, 95.32, 94.12, 87.98, 83.48, 86.76, 83.44]
RandomForest (modified) (1) (accuracy): [98.56, 97.74, 95.52, 92.96, 86.9, 83.3, 87.68, 84.16]
RandomForest (modified) (2) (accuracy): [99.57333333333334, 97.86, 95.36, 94.14, 88.0, 83.46, 86.88, 83.4]
RandomForest (3) (accuracy): [99.55333333333333, 97.84, 95.44, 93.5, 86.22, 83.0, 86.28, 82.78]
RandomForest (modified) (0) (auc): [0.9996973244444445, 0.9936076, 0.98626776, 0.99063616, 0.945446, 0.96295288, 0.9630992, 0.90142408]
RandomForest (modified) (1) (auc): [0.9980844177777778, 0.99416048, 0.9813048, 0.98881984, 0.94817392, 0.96991256, 0.97590576, 0.9024216]
RandomForest (modified) (2) (auc): [0.9996994577777778, 0.9935144, 0.98624256, 0.99052336, 0.9457884, 0.962902, 0.96304616, 0.90151168]
RandomForest (3) (auc): [0.9993926933333334, 0.99286792, 0.98562496, 0.99094824, 0.94507008, 0.95923408, 0.95808992, 0.88492664]
RandomForest (modified) (0) (recall): [0.9974666666666666, 0.9616, 0.9412, 0.8824, 0.8, 0.6948, 0.7396, 0.6896]
RandomForest (modified) (1) (recall): [0.9842666666666666, 0.956, 0.9432, 0.8752, 0.7892, 0.6924, 0.758, 0.6996]
RandomForest (modified) (2) (recall): [0.9974666666666666, 0.9608, 0.942, 0.8828, 0.8004, 0.6936, 0.7428, 0.6876]
RandomForest (3) (recall): [0.9973333333333333, 0.9628, 0.9436, 0.8732, 0.7864, 0.6888, 0.7468, 0.6812]
RandomForest (modified) (0) (precision): [0.9940207281424396, 0.9966832504145937, 0.964344262295082, 1.0, 0.9519276534983341, 0.965, 0.9940860215053764, 0.9707207207207207]
RandomForest (modified) (1) (precision): [0.9868983957219252, 0.9987463435018805, 0.9663934426229508, 0.9820466786355476, 0.9390766301761067, 0.9632721202003339, 0.9942287513116475, 0.9770949720670391]
RandomForest (modified) (2) (precision): [0.9940207281424396, 0.9962671090833679, 0.9643734643734644, 1.0, 0.9519505233111323, 0.966016713091922, 0.993048128342246, 0.9722850678733032]
RandomForest (3) (precision): [0.9937558124086622, 0.9938067712634187, 0.96443172526574, 0.9963486992240986, 0.9269212635549269, 0.959866220735786, 0.9723958333333333, 0.9637804187889077]
