['Training set', '15001-20000', '20001-25000', '25001-30000', '30001-35000', '35001-40000', '40001-45000', '45001-50000']
RandomForest (modified) (0) (accuracy): [95.52, 96.78, 92.82, 94.46, 86.04, 84.88, 89.34, 85.74]
RandomForest (modified) (1) (accuracy): [98.56, 97.74, 95.52, 92.96, 86.9, 83.3, 87.68, 84.16]
RandomForest (modified) (2) (accuracy): [99.44, 97.98, 95.22, 93.88, 87.78, 83.7, 86.88, 83.48]
RandomForest (3) (accuracy): [99.55333333333333, 97.84, 95.44, 93.5, 86.22, 83.0, 86.28, 82.78]
RandomForest (modified) (0) (auc): [0.9859518311111111, 0.99043904, 0.97213312, 0.98115472, 0.92141744, 0.94030496, 0.97080016, 0.86985008]
RandomForest (modified) (1) (auc): [0.9980844177777778, 0.99416048, 0.9813048, 0.98881984, 0.94817392, 0.96991256, 0.97590576, 0.9024216]
RandomForest (modified) (2) (auc): [0.999432, 0.99362448, 0.98486272, 0.99011936, 0.94813024, 0.9664196, 0.9668344, 0.90165424]
RandomForest (3) (auc): [0.9993926933333334, 0.99286792, 0.98562496, 0.99094824, 0.94507008, 0.95923408, 0.95808992, 0.88492664]
RandomForest (modified) (0) (recall): [0.942, 0.9476, 0.9384, 0.9208, 0.8424, 0.7612, 0.802, 0.7904]
RandomForest (modified) (1) (recall): [0.9842666666666666, 0.956, 0.9432, 0.8752, 0.7892, 0.6924, 0.758, 0.6996]
RandomForest (modified) (2) (recall): [0.9969333333333333, 0.9616, 0.9392, 0.8776, 0.798, 0.6988, 0.7436, 0.688]
RandomForest (3) (recall): [0.9973333333333333, 0.9628, 0.9436, 0.8732, 0.7864, 0.6888, 0.7468, 0.6812]
RandomForest (modified) (0) (precision): [0.9675431388660641, 0.9874947894956232, 0.9196393571148569, 0.9668206635867282, 0.8738589211618257, 0.922890397672163, 0.9813999021047479, 0.91270207852194]
RandomForest (modified) (1) (precision): [0.9868983957219252, 0.9987463435018805, 0.9663934426229508, 0.9820466786355476, 0.9390766301761067, 0.9632721202003339, 0.9942287513116475, 0.9770949720670391]
RandomForest (modified) (2) (precision): [0.9919076678163969, 0.9979244499792445, 0.9642710472279261, 1.0, 0.9495478343645883, 0.9657269209508016, 0.9919957310565635, 0.9739524348810872]
RandomForest (3) (precision): [0.9937558124086622, 0.9938067712634187, 0.96443172526574, 0.9963486992240986, 0.9269212635549269, 0.959866220735786, 0.9723958333333333, 0.9637804187889077]
